               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                                                	Baker/NNP	 
                                                                                                                                                                	as/IN	 
                                                                                                                                                                	Wade/NNP	 
                                                                                                                                                                	in/IN	 
                                                                                                                                                                	GoldenEye/NNP	 
[[ James Mason | /m/0jvtp ]] stars as [[ Johnny McQueen | /m/0cblmjb ]] , an [[ IRA | /m/03t3s ]] officer wounded during a botched raid, who becomes the f..	James/NNP	 
                                                                                                                                                             	Mason/NNP	 
                                                                                                                                                             	stars/VBZ	 
                                                                                                                                                             	as/IN	 
                                                                                                                                                             	Johnny/NNP	 
                                                                                                                                                             	McQueen/NNP	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	an/DT	 
                                                                                                                                                             	IRA/NNP	 
                                                                                                                                                             	officer/NN	 
                                                                                                                                                             	wounded/VBD	 
                                                                                                                                                             	during/IN	 
                                                                                                                                                             	a/DT	 
                                                                                                                                                             	botched/JJ	 
                                                                                                                                                             	raid/NN	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	who/WP	 
                                                                                                                                                             	becomes/VBZ	 
                                                                                                                                                             	the/DT	 
                                                                                                                                                             	f../NN	 
Trivia note: voicing [[ Dot | /m/05t2dqc ]] is [[ Hayden Pannetiere | /m/02jyhv ]] , in her pre-cheerleader days.	Trivia/NNP	 
                                                                                                                  	note/NN	 
                                                                                                                  	:/:	 
                                                                                                                  	voicing/NN	 
                                                                                                                  	Dot/NNP	 
                                                                                                                  	is/VBZ	 
                                                                                                                  	Hayden/NNP	 
                                                                                                                  	Pannetiere/NNP	 
                                                                                                                  	,/,	 
                                                                                                                  	in/IN	 
                                                                                                                  	her/PRP$	 
                                                                                                                  	pre-cheerleader/JJ	 
                                                                                                                  	days/NNS	 
                                                                                                                  	./.	 
[[ Jordan | /m/03__y ]] did put [[ Kirstie Alley | /m/01wc7p ]] ?s [[ Saavik | /m/02469f ]] at 17 and [[ Ashley Judd | /m/0btxr ]] ?s Ens	Jordan/NN	 
                                                                                                                                          	did/VBD	 
                                                                                                                                          	put/VB	 
                                                                                                                                          	Kirstie/NNP	 
                                                                                                                                          	Alley/NNP	 
                                                                                                                                          	?/.	 
                                                                                                                                          	s/NN	 
                                                                                                                                          	Saavik/NNP	 
                                                                                                                                          	at/IN	 
                                                                                                                                          	17/CD	 
                                                                                                                                          	and/CC	 
                                                                                                                                          	Ashley/NNP	 
                                                                                                                                          	Judd/NNP	 
                                                                                                                                          	?/.	 
                                                                                                                                          	s/NN	 
                                                                                                                                          	Ens/NN	 
[[ Dundee | /m/02qlsxl ]] was written for [[ Hogan | /m/033b_b ]] in part by [[ Hogan | /m/033b_b ]] in order to feature that persona	Dundee/NNP	 
                                                                                                                                      	was/VBD	 
                                                                                                                                      	written/VBN	 
                                                                                                                                      	for/IN	 
                                                                                                                                      	Hogan/NNP	 
                                                                                                                                      	in/IN	 
                                                                                                                                      	part/NN	 
                                                                                                                                      	by/IN	 
                                                                                                                                      	Hogan/NNP	 
                                                                                                                                      	in/IN	 
                                                                                                                                      	order/NN	 
                                                                                                                                      	to/TO	 
                                                                                                                                      	feature/VB	 
                                                                                                                                      	that/DT	 
                                                                                                                                      	persona/NN	 
[[ Jason Lee | /m/034np8 ]] stars as [[ Paul | /m/0gcs3mp ]] , a happy-go-lucky, decent sort of chap, engaged to [[ Karen | /m/0gcs3ky ]] .	Jason/NNP	 
                                                                                                                                            	Lee/NNP	 
                                                                                                                                            	stars/VBZ	 
                                                                                                                                            	as/IN	 
                                                                                                                                            	Paul/NNP	 
                                                                                                                                            	,/,	 
                                                                                                                                            	a/DT	 
                                                                                                                                            	happy-go-lucky/JJ	 
                                                                                                                                            	,/,	 
                                                                                                                                            	decent/JJ	 
                                                                                                                                            	sort/NN	 
                                                                                                                                            	of/IN	 
                                                                                                                                            	chap/NN	 
                                                                                                                                            	,/,	 
                                                                                                                                            	engaged/VBN	 
                                                                                                                                            	to/TO	 
                                                                                                                                            	Karen/NNP	 
                                                                                                                                            	./.	 
[[ Barker | /m/01tz8h ]] is a bland choice for [[ Tarzan | /m/07lk3 ]] , especially in [[ Johnny Weissmuller | /m/04709 ]] 's shadow	Barker/NNP	 
                                                                                                                                     	is/VBZ	 
                                                                                                                                     	a/DT	 
                                                                                                                                     	bland/NN	 
                                                                                                                                     	choice/NN	 
                                                                                                                                     	for/IN	 
                                                                                                                                     	Tarzan/NNP	 
                                                                                                                                     	,/,	 
                                                                                                                                     	especially/RB	 
                                                                                                                                     	in/IN	 
                                                                                                                                     	Johnny/NNP	 
                                                                                                                                     	Weissmuller/NNP	 
                                                                                                                                     	s/VBD	 
                                                                                                                                     	shadow/NN	 
[[ Troy Baker | /m/0fzvpp ]] plays [[ Pea Eye Parker | /m/02844vz ]] , previously played by [[ Timothy Scott | /m/0bq9y5p ]] and [[ Sam Shepard | /m/016yzz ]] 	Troy/NNP	 
                                                                                                                                                                	Baker/NNP	 
                                                                                                                                                                	plays/VBZ	 
                                                                                                                                                                	Pea/NNP	 
                                                                                                                                                                	Eye/NNP	 
                                                                                                                                                                	Parker/NNP	 
                                                                                                                                                                	,/,	 
                                                                                                                                                                	previously/RB	 
                                                                                                                                                                	played/VBN	 
                                                                                                                                                                	by/IN	 
                                                                                                                                                                	Timothy/NNP	 
                                                                                                                                                                	Scott/NNP	 
                                                                                                                                                                	and/CC	 
                                                                                                                                                                	Sam/NNP	 
                                                                                                                                                                	Shepard/NNP	 
[[ Lotte Lenya | /m/01vcfq ]] portrays [[ Rosa Klebb | /m/05p43l ]] , the former [[ SMERSH | /m/03nvqy ]] agent who has defected to [[ SPECTRE | /m/0m6__ ]] and become their number three agent	Lotte/NNP	 
                                                                                                                                                                                                 	Lenya/NNP	 
                                                                                                                                                                                                 	portrays/VBZ	 
                                                                                                                                                                                                 	Rosa/NNP	 
                                                                                                                                                                                                 	Klebb/NNP	 
                                                                                                                                                                                                 	,/,	 
                                                                                                                                                                                                 	the/DT	 
                                                                                                                                                                                                 	former/JJ	 
                                                                                                                                                                                                 	SMERSH/NNP	 
                                                                                                                                                                                                 	agent/NN	 
                                                                                                                                                                                                 	who/WP	 
                                                                                                                                                                                                 	has/VBZ	 
                                                                                                                                                                                                 	defected/VBN	 
                                                                                                                                                                                                 	to/TO	 
                                                                                                                                                                                                 	SPECTRE/NNP	 
                                                                                                                                                                                                 	and/CC	 
                                                                                                                                                                                                 	become/VB	 
                                                                                                                                                                                                 	their/PRP$	 
                                                                                                                                                                                                 	number/NN	 
                                                                                                                                                                                                 	three/CD	 
                                                                                                                                                                                                 	agent/NN	 
3375 x 1906 [[ Derek Mears | /m/05h41sp ]] stars as [[ Jason Voorhees | /m/01wmhq ]] in [[ Paramount Pictures | /m/05qd_ ]] ' Friday the 13th .	3375/CD	 
                                                                                                                                                	x/JJ	 
                                                                                                                                                	1906/CD	 
                                                                                                                                                	Derek/NNP	 
                                                                                                                                                	Mears/NNP	 
                                                                                                                                                	stars/VBZ	 
                                                                                                                                                	as/IN	 
                                                                                                                                                	Jason/NNP	 
                                                                                                                                                	Voorhees/NNP	 
                                                                                                                                                	in/IN	 
                                                                                                                                                	Paramount/NNP	 
                                                                                                                                                	Pictures/NNP	 
                                                                                                                                                	Friday/NNP	 
                                                                                                                                                	the/DT	 
                                                                                                                                                	13th/NNS	 
                                                                                                                                                	./.	 
On the other side of the female spectrum is [[ Nikki Gardner | /m/0cm1bcd ]] , played by [[ British | /m/07ssc ]] actress [[ Rosamund Pike | /m/0150rl ]] .	On/IN	British
                                                                                                                                                            	the/DT	 
                                                                                                                                                            	other/JJ	 
                                                                                                                                                            	side/NN	 
                                                                                                                                                            	of/IN	 
                                                                                                                                                            	the/DT	 
                                                                                                                                                            	female/JJ	 
                                                                                                                                                            	spectrum/NN	 
                                                                                                                                                            	is/VBZ	 
                                                                                                                                                            	Nikki/NNP	 
                                                                                                                                                            	Gardner/NNP	 
                                                                                                                                                            	,/,	 
                                                                                                                                                            	played/VBN	 
                                                                                                                                                            	by/IN	 
                                                                                                                                                            	British/JJ	 
                                                                                                                                                            	actress/NN	 
                                                                                                                                                            	Rosamund/NNP	 
                                                                                                                                                            	Pike/NNP	 
                                                                                                                                                            	./.	 
This year, [[ Garcia | /m/03hnhw ]] also completed filming the role of [[ Scott Doherty | /m/0h30_hs ]] in independent thriller ?Fascination?	This/DT	 
                                                                                                                                              	year/NN	 
                                                                                                                                              	,/,	 
                                                                                                                                              	Garcia/NNP	 
                                                                                                                                              	also/RB	 
                                                                                                                                              	completed/VBD	 
                                                                                                                                              	filming/VBG	 
                                                                                                                                              	the/DT	 
                                                                                                                                              	role/NN	 
                                                                                                                                              	of/IN	 
                                                                                                                                              	Scott/NNP	 
                                                                                                                                              	Doherty/NNP	 
                                                                                                                                              	in/IN	 
                                                                                                                                              	independent/JJ	 
                                                                                                                                              	thriller/NN	 
                                                                                                                                              	?/.	 
                                                                                                                                              	Fascination/NN	 
                                                                                                                                              	?/.	 
Sir [[ Michael | /m/0gnbw ]] 's character [[ Charlie Croker | /m/05d4fq ]] utters the immortal last words:   [[ Hang | /m/01yrd5 ]] on a minute, lads.	Sir/NNP	 
                                                                                                                                                       	Michael/NNP	 
                                                                                                                                                       	s/VBP	 
                                                                                                                                                       	character/NN	 
                                                                                                                                                       	Charlie/NNP	 
                                                                                                                                                       	Croker/NNP	 
                                                                                                                                                       	utters/VBZ	 
                                                                                                                                                       	the/DT	 
                                                                                                                                                       	immortal/JJ	 
                                                                                                                                                       	last/JJ	 
                                                                                                                                                       	words/NNS	 
                                                                                                                                                       	:/:	 
                                                                                                                                                       	Hang/NNP	 
                                                                                                                                                       	on/IN	 
                                                                                                                                                       	a/DT	 
                                                                                                                                                       	minute/NN	 
                                                                                                                                                       	,/,	 
                                                                                                                                                       	lads/NNS	 
                                                                                                                                                       	./.	 
[[ Derek Mears | /m/05h41sp ]] stars as [[ Jason Voorhees | /m/01wmhq ]] in  Friday the 13th. 	Derek/NNP	 
                                                                                               	Mears/NNP	 
                                                                                               	stars/VBZ	 
                                                                                               	as/IN	 
                                                                                               	Jason/NNP	 
                                                                                               	Voorhees/NNP	 
                                                                                               	in/IN	 
                                                                                               	Friday/NNP	 
                                                                                               	the/DT	 
                                                                                               	13th/NNS	 
                                                                                               	./.	 
[[ Olga Kurylenko | /m/0266c36 ]] plays the gorgeous [[ Camille | /m/043pxc_ ]] in the new [[ James Bond | /m/03_97 ]]	Olga/NNP	 
                                                                                                                       	Kurylenko/NNP	 
                                                                                                                       	plays/VBZ	 
                                                                                                                       	the/DT	 
                                                                                                                       	gorgeous/JJ	 
                                                                                                                       	Camille/NNP	 
                                                                                                                       	in/IN	 
                                                                                                                       	the/DT	 
                                                                                                                       	new/JJ	 
                                                                                                                       	James/NNP	 
                                                                                                                       	Bond/NNP	 
[[ Travolta | /m/0f502 ]] rebounded his acting career with the portrayal of cab-driver-turned-baby-sitter [[ James Ubriacco | /m/0gxw7gp ]] in [[ Amy Heckerling | /m/03vlgt ]] 's low-budget comedy [[ Look Who's Talking | /m/03gn80 ]] 	Travolta/NNP	 
                                                                                                                                                                                                                                           	rebounded/VBD	 
                                                                                                                                                                                                                                           	his/PRP$	 
                                                                                                                                                                                                                                           	acting/VBG	 
                                                                                                                                                                                                                                           	career/NN	 
                                                                                                                                                                                                                                           	with/IN	 
                                                                                                                                                                                                                                           	the/DT	 
                                                                                                                                                                                                                                           	portrayal/NN	 
                                                                                                                                                                                                                                           	of/IN	 
                                                                                                                                                                                                                                           	cab-driver-turned-baby-sitter/NN	 
                                                                                                                                                                                                                                           	James/NNP	 
                                                                                                                                                                                                                                           	Ubriacco/NNP	 
                                                                                                                                                                                                                                           	in/IN	 
                                                                                                                                                                                                                                           	Amy/NNP	 
                                                                                                                                                                                                                                           	Heckerling/NNP	 
                                                                                                                                                                                                                                           	s/JJ	 
                                                                                                                                                                                                                                           	low-budget/JJ	 
                                                                                                                                                                                                                                           	comedy/NN	 
                                                                                                                                                                                                                                           	Look/NNP	 
                                                                                                                                                                                                                                           	Who/WP	 
                                                                                                                                                                                                                                           	s/VBD	 
                                                                                                                                                                                                                                           	Talking/VBG	 
[[ James Mason | /m/0jvtp ]] stars as [[ Johnny McQueen | /m/0cblmjb ]] , an [[ IRA | /m/03t3s ]] officer wounded during a botched raid, who becomes the f..	James/NNP	 
                                                                                                                                                             	Mason/NNP	 
                                                                                                                                                             	stars/VBZ	 
                                                                                                                                                             	as/IN	 
                                                                                                                                                             	Johnny/NNP	 
                                                                                                                                                             	McQueen/NNP	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	an/DT	 
                                                                                                                                                             	IRA/NNP	 
                                                                                                                                                             	officer/NN	 
                                                                                                                                                             	wounded/VBD	 
                                                                                                                                                             	during/IN	 
                                                                                                                                                             	a/DT	 
                                                                                                                                                             	botched/JJ	 
                                                                                                                                                             	raid/NN	 
                                                                                                                                                             	,/,	 
