               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                         	New/NNP	 
                                                                                                                                         	Whirl/NNP	 
                                                                                                                                         	Odor/NNP	 
                                                                                                                                         	sees/VBZ	 
                                                                                                                                         	Public/JJ	 
                                                                                                                                         	Enemy/NNP	 
                                                                                                                                         	at/IN	 
                                                                                                                                         	the/DT	 
                                                                                                                                         	proverbial/JJ	 
                                                                                                                                         	crossroads/NNS	 
Co-produced with [[ Nigel Godrich | /m/02zhp0 ]] , [[ Chaos And Creation | /m/06tybp ]] is [[ McCartney | /m/03j24kf ]] 's first record since 2001's [[ Driving Rain | /m/01j7ts1 ]] 	Co-produced/JJ	Driving Rain
                                                                                                                                                                                      	with/IN	 
                                                                                                                                                                                      	Nigel/NNP	 
                                                                                                                                                                                      	Godrich/NNP	 
                                                                                                                                                                                      	,/,	 
                                                                                                                                                                                      	Chaos/NNP	 
                                                                                                                                                                                      	And/CC	 
                                                                                                                                                                                      	Creation/NNP	 
                                                                                                                                                                                      	is/VBZ	 
                                                                                                                                                                                      	McCartney/NNP	 
                                                                                                                                                                                      	s/NN	 
                                                                                                                                                                                      	first/RB	 
                                                                                                                                                                                      	record/NN	 
                                                                                                                                                                                      	since/IN	 
                                                                                                                                                                                      	2001/CD	 
                                                                                                                                                                                      	s/NN	 
                                                                                                                                                                                      	Driving/VBG	 
                                                                                                                                                                                      	Rain/NN	 
[[ Riders in the Sky | /m/01mqvck ]] 's most recent album, [[ Always Drink Upstream from the Herd | /m/01mqv95 ]] , returns attention to the music while comedy takes a back seat	Riders/NNS	 
                                                                                                                                                                                  	in/IN	 
                                                                                                                                                                                  	the/DT	 
                                                                                                                                                                                  	Sky/NNP	 
                                                                                                                                                                                  	s/NN	 
                                                                                                                                                                                  	most/RBS	 
                                                                                                                                                                                  	recent/JJ	 
                                                                                                                                                                                  	album/NN	 
                                                                                                                                                                                  	,/,	 
                                                                                                                                                                                  	Always/NNP	 
                                                                                                                                                                                  	Drink/NNP	 
                                                                                                                                                                                  	Upstream/NNP	 
                                                                                                                                                                                  	from/IN	 
                                                                                                                                                                                  	the/DT	 
                                                                                                                                                                                  	Herd/NNP	 
                                                                                                                                                                                  	,/,	 
                                                                                                                                                                                  	returns/VBZ	 
                                                                                                                                                                                  	attention/NN	 
                                                                                                                                                                                  	to/TO	 
                                                                                                                                                                                  	the/DT	 
                                                                                                                                                                                  	music/NN	 
                                                                                                                                                                                  	while/IN	 
                                                                                                                                                                                  	comedy/NN	 
                                                                                                                                                                                  	takes/VBZ	 
                                                                                                                                                                                  	a/DT	 
                                                                                                                                                                                  	back/RB	 
                                                                                                                                                                                  	seat/NN	 
The song is featured on [[ Sayer | /m/01ktx57 ]] 's album, [[ Another Year | /m/04ksf5 ]] .	The/DT	Another Year
                                                                                            	song/NN	 
                                                                                            	is/VBZ	 
                                                                                            	featured/VBN	 
                                                                                            	on/IN	 
                                                                                            	Sayer/NNP	 
                                                                                            	s/NN	 
                                                                                            	album/NN	 
                                                                                            	,/,	 
                                                                                            	Another/DT	 
                                                                                            	Year/NN	 
                                                                                            	./.	 
Some of the same musicians who appeared on [[ Gorka | /m/01l47sc ]] 's last record, 1994's [[ Out of the Valley | /m/01l47gb ]] are on [[ Between Five and Seven | /m/03680cv ]] 	Some/DT	 
                                                                                                                                                                                  	of/IN	 
                                                                                                                                                                                  	the/DT	 
                                                                                                                                                                                  	same/JJ	 
                                                                                                                                                                                  	musicians/NNS	 
                                                                                                                                                                                  	who/WP	 
                                                                                                                                                                                  	appeared/VBD	 
                                                                                                                                                                                  	on/IN	 
                                                                                                                                                                                  	Gorka/NNP	 
                                                                                                                                                                                  	s/VBD	 
                                                                                                                                                                                  	last/JJ	 
                                                                                                                                                                                  	record/NN	 
                                                                                                                                                                                  	,/,	 
                                                                                                                                                                                  	1994/CD	 
                                                                                                                                                                                  	s/VBD	 
                                                                                                                                                                                  	Out/NNP	 
                                                                                                                                                                                  	of/IN	 
                                                                                                                                                                                  	the/DT	 
                                                                                                                                                                                  	Valley/NNP	 
                                                                                                                                                                                  	are/VBP	 
                                                                                                                                                                                  	on/IN	 
                                                                                                                                                                                  	Between/NNP	 
                                                                                                                                                                                  	Five/NNP	 
                                                                                                                                                                                  	and/CC	 
                                                                                                                                                                                  	Seven/NNP	 
[[ Genie Gets Her Wish | /m/06gbp2 ]] is a music DVD by [[ Christina Aguilera | /m/0127s7 ]] .	Genie/NNP	 
                                                                                               	Gets/VBZ	 
                                                                                               	Her/PRP$	 
                                                                                               	Wish/JJ	 
                                                                                               	is/VBZ	 
                                                                                               	a/DT	 
                                                                                               	music/NN	 
                                                                                               	DVD/NNP	 
                                                                                               	by/IN	 
                                                                                               	Christina/NNP	 
                                                                                               	Aguilera/NNP	 
                                                                                               	./.	 
[[ Riders in the Sky | /m/01mqvck ]] will revive [[ America | /m/09c7w0 ]] 's tradition of show-biz cowpokery in   [[ Christmas the Cowboy Way | /m/026z9j3 ]] .	Riders/NNS	 
                                                                                                                                                                 	in/IN	 
                                                                                                                                                                 	the/DT	 
                                                                                                                                                                 	Sky/NNP	 
                                                                                                                                                                 	will/MD	 
                                                                                                                                                                 	revive/VB	 
                                                                                                                                                                 	America/NNP	 
                                                                                                                                                                 	s/JJ	 
                                                                                                                                                                 	tradition/NN	 
                                                                                                                                                                 	of/IN	 
                                                                                                                                                                 	show-biz/JJ	 
                                                                                                                                                                 	cowpokery/NN	 
                                                                                                                                                                 	in/IN	 
                                                                                                                                                                 	Christmas/NNP	 
                                                                                                                                                                 	the/DT	 
                                                                                                                                                                 	Cowboy/NNP	 
                                                                                                                                                                 	Way/NNP	 
                                                                                                                                                                 	./.	 
[[ Shorter | /m/01qdjm ]] released [[ Alegría | /m/01l6nxb ]] , his first all-acoustic studio recording as a leader since 1967, in 2003	Shorter/NNP	 
                                                                                                                                        	released/VBD	 
                                                                                                                                        	Alegría/NNP	 
                                                                                                                                        	,/,	 
                                                                                                                                        	his/PRP$	 
                                                                                                                                        	first/JJ	 
                                                                                                                                        	all-acoustic/JJ	 
                                                                                                                                        	studio/NN	 
                                                                                                                                        	recording/NN	 
                                                                                                                                        	as/IN	 
                                                                                                                                        	a/DT	 
                                                                                                                                        	leader/NN	 
                                                                                                                                        	since/IN	 
                                                                                                                                        	1967/CD	 
                                                                                                                                        	,/,	 
                                                                                                                                        	in/IN	 
                                                                                                                                        	2003/CD	 
[[ ELEVATOR MUSIQ | /m/05f5c1_ ]]  is the latest installment from [[ Nesian Mystik | /m/01n5mb6 ]] 	ELEVATOR/NNP	Nesian Mystik
                                                                                                     	MUSIQ/NNP	 
                                                                                                     	is/VBZ	 
                                                                                                     	the/DT	 
                                                                                                     	latest/JJS	 
                                                                                                     	installment/NN	 
                                                                                                     	from/IN	 
                                                                                                     	Nesian/JJ	 
                                                                                                     	Mystik/NNP	 
There is some mystery regarding the [[ His Name is Alive | /m/01lgsr ]] song  [[ King of Sweet | /m/026w6gs ]] 	There/EX	His Name is Alive
                                                                                                                 	is/VBZ	 
                                                                                                                 	some/DT	 
                                                                                                                 	mystery/NN	 
                                                                                                                 	regarding/VBG	 
                                                                                                                 	the/DT	 
                                                                                                                 	His/PRP$	 
                                                                                                                 	Name/NN	 
                                                                                                                 	is/VBZ	 
                                                                                                                 	Alive/JJ	 
                                                                                                                 	song/NN	 
                                                                                                                 	King/NNP	 
                                                                                                                 	of/IN	 
                                                                                                                 	Sweet/NNP	 
In 1997, [[ Roy | /m/04l5p4 ]] s [[ Cuban | /m/0d04z6 ]] -based band Crisol  won the Best Latin Jazz Performance Grammy for the album [[ Habana | /m/01mlb8g ]] 	In/IN	 
                                                                                                                                                                  	1997/CD	 
                                                                                                                                                                  	,/,	 
                                                                                                                                                                  	Roy/NNP	 
                                                                                                                                                                  	s/NNP	 
                                                                                                                                                                  	Cuban/NNP	 
                                                                                                                                                                  	-based/VBD	 
                                                                                                                                                                  	band/NN	 
                                                                                                                                                                  	Crisol/NNP	 
                                                                                                                                                                  	won/VBD	 
                                                                                                                                                                  	the/DT	 
                                                                                                                                                                  	Best/JJS	 
                                                                                                                                                                  	Latin/JJ	 
                                                                                                                                                                  	Jazz/NN	 
                                                                                                                                                                  	Performance/NNP	 
                                                                                                                                                                  	Grammy/NNP	 
                                                                                                                                                                  	for/IN	 
                                                                                                                                                                  	the/DT	 
                                                                                                                                                                  	album/NN	 
                                                                                                                                                                  	Habana/NNP	 
[[ Wayne Shorter | /m/01qdjm ]] almost named his [[ Verve | /m/01xyqk ]] album   [[ High Life | /m/01l6nzp ]]    Instant Gratification  instead	Wayne/NNP	 
                                                                                                                                                	Shorter/NNP	 
                                                                                                                                                	almost/RB	 
                                                                                                                                                	named/VBD	 
                                                                                                                                                	his/PRP$	 
                                                                                                                                                	Verve/NNP	 
                                                                                                                                                	album/NN	 
                                                                                                                                                	High/NNP	 
                                                                                                                                                	Life/NNP	 
                                                                                                                                                	Instant/NNP	 
                                                                                                                                                	Gratification/NNP	 
                                                                                                                                                	instead/RB	 
[[ Goodbye Blue Monday | /m/03j9xbp ]] follows [[ Fisher | /m/055lsg ]] ?s 2001 debut of [[ Back Porch Spirituals | /m/02rr69l ]] , and his second album [[ Let It Shine | /m/02rr47g ]] , released in 2004	Goodbye/NNP	Let It Shine
                                                                                                                                                                                                            	Blue/NNP	 
                                                                                                                                                                                                            	Monday/NNP	 
                                                                                                                                                                                                            	follows/VBZ	 
                                                                                                                                                                                                            	Fisher/NNP	 
                                                                                                                                                                                                            	?/.	 
                                                                                                                                                                                                            	s/NN	 
                                                                                                                                                                                                            	2001/CD	 
                                                                                                                                                                                                            	debut/NN	 
                                                                                                                                                                                                            	of/IN	 
                                                                                                                                                                                                            	Back/NNP	 
                                                                                                                                                                                                            	Porch/NNP	 
                                                                                                                                                                                                            	Spirituals/NNP	 
                                                                                                                                                                                                            	,/,	 
                                                                                                                                                                                                            	and/CC	 
                                                                                                                                                                                                            	his/PRP$	 
                                                                                                                                                                                                            	second/JJ	 
                                                                                                                                                                                                            	album/NN	 
                                                                                                                                                                                                            	Let/VBD	 
                                                                                                                                                                                                            	It/PRP	 
                                                                                                                                                                                                            	Shine/NNP	 
                                                                                                                                                                                                            	,/,	 
                                                                                                                                                                                                            	released/VBN	 
                                                                                                                                                                                                            	in/IN	 
                                                                                                                                                                                                            	2004/CD	 
On June 14, 1994, [[ Lush | /m/016_5p ]] released [[ Split | /m/02r809m ]] , produced by [[ Mike Hedges | /m/027nx_h ]] 	On/IN	 
                                                                                                                         	June/NNP	 
                                                                                                                         	14/CD	 
                                                                                                                         	,/,	 
                                                                                                                         	1994/CD	 
                                                                                                                         	,/,	 
                                                                                                                         	Lush/NNP	 
                                                                                                                         	released/VBD	 
                                                                                                                         	Split/NNP	 
                                                                                                                         	,/,	 
                                                                                                                         	produced/VBN	 
                                                                                                                         	by/IN	 
                                                                                                                         	Mike/NNP	 
                                                                                                                         	Hedges/NNP	 
[[ Get Yer Ya-Ya's Out! | /m/0fs2xyf ]] , Love You Live, Flashpoint, and [[ No Security | /m/01hmyst ]] are some of the best live [[ Rolling Stones | /m/07mvp ]] recordings I?ve listened to	Get/NNP	No Security
                                                                                                                                                                                              	Yer/NNP	 
                                                                                                                                                                                              	Ya-Ya/NNP	 
                                                                                                                                                                                              	s/VBZ	 
                                                                                                                                                                                              	Out/RP	 
                                                                                                                                                                                              	!/.	 
                                                                                                                                                                                              	,/,	 
                                                                                                                                                                                              	Love/NNP	 
                                                                                                                                                                                              	You/PRP	 
                                                                                                                                                                                              	Live/VBP	 
                                                                                                                                                                                              	,/,	 
                                                                                                                                                                                              	Flashpoint/NNP	 
                                                                                                                                                                                              	,/,	 
                                                                                                                                                                                              	and/CC	 
                                                                                                                                                                                              	No/DT	 
                                                                                                                                                                                              	Security/NNP	 
                                                                                                                                                                                              	are/VBP	 
                                                                                                                                                                                              	some/DT	 
                                                                                                                                                                                              	of/IN	 
                                                                                                                                                                                              	the/DT	 
                                                                                                                                                                                              	best/JJS	 
                                                                                                                                                                                              	live/JJ	 
                                                                                                                                                                                              	Rolling/NNP	 
                                                                                                                                                                                              	Stones/NNP	 
                                                                                                                                                                                              	recordings/NNS	 
                                                                                                                                                                                              	I/PRP	 
                                                                                                                                                                                              	?/.	 
                                                                                                                                                                                              	ve/NN	 
                                                                                                                                                                                              	listened/VBD	 
                                                                                                                                                                                              	to/TO	 
[[ Next | /m/01j0lvl ]] was   [[ Throw It All Away | /m/01lb88y ]]   by something called [[ Zero 7 | /m/05jy74 ]] , of which it was said  their new album . . .	Next/NNP	Throw It All Away
