               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                                        	McCartney/NNP	 
                                                                                                                                                        	s/JJ	 
                                                                                                                                                        	fashion/NN	 
                                                                                                                                                        	designer/NN	 
                                                                                                                                                        	daughter/NN	 
                                                                                                                                                        	Stella/NNP	 
                                                                                                                                                        	McCartney/NNP	 
                                                                                                                                                        	./.	 
Now, [[ Dhirubhai | /m/034kdq ]] ?s younger son, [[ Anil Ambani | /m/04jr74 ]] , is going a step ahead	Now/RB	 
                                                                                                       	,/,	 
                                                                                                       	Dhirubhai/NNP	 
                                                                                                       	?/.	 
                                                                                                       	s/NN	 
                                                                                                       	younger/JJR	 
                                                                                                       	son/NN	 
                                                                                                       	,/,	 
                                                                                                       	Anil/NNP	 
                                                                                                       	Ambani/NNP	 
                                                                                                       	,/,	 
                                                                                                       	is/VBZ	 
                                                                                                       	going/VBG	 
                                                                                                       	a/DT	 
                                                                                                       	step/NN	 
                                                                                                       	ahead/RB	 
Prominent amongst the [[ Radicals | /m/02mvz1 ]] was [[ James Mill | /m/017h4t ]] , the father of [[ John Stuart Mill | /m/03_hd ]] 	Prominent/JJ	 
                                                                                                                                     	amongst/VBZ	 
                                                                                                                                     	the/DT	 
                                                                                                                                     	Radicals/NNP	 
                                                                                                                                     	was/VBD	 
                                                                                                                                     	James/NNP	 
                                                                                                                                     	Mill/NNP	 
                                                                                                                                     	,/,	 
                                                                                                                                     	the/DT	 
                                                                                                                                     	father/NN	 
                                                                                                                                     	of/IN	 
                                                                                                                                     	John/NNP	 
                                                                                                                                     	Stuart/NNP	 
                                                                                                                                     	Mill/NNP	 
[[ Morgan County | /m/0jcfy ]] was named for [[ Jedediah Morgan Grant | /m/06gx6m ]] , the father of [[ Heber J. Grant | /m/027r4j ]] , a past president of the [[ Church of Jesus Christ of Latter Day Saints | /m/0g5llry ]] .	Morgan/NNP	 
                                                                                                                                                                                                                                 	County/NNP	 
                                                                                                                                                                                                                                 	was/VBD	 
                                                                                                                                                                                                                                 	named/VBN	 
                                                                                                                                                                                                                                 	for/IN	 
                                                                                                                                                                                                                                 	Jedediah/NNP	 
                                                                                                                                                                                                                                 	Morgan/NNP	 
                                                                                                                                                                                                                                 	Grant/NNP	 
                                                                                                                                                                                                                                 	,/,	 
                                                                                                                                                                                                                                 	the/DT	 
                                                                                                                                                                                                                                 	father/NN	 
                                                                                                                                                                                                                                 	of/IN	 
                                                                                                                                                                                                                                 	Heber/NNP	 
                                                                                                                                                                                                                                 	J/NNP	 
                                                                                                                                                                                                                                 	./.	 
                                                                                                                                                                                                                                 	Grant/NNP	 
                                                                                                                                                                                                                                 	,/,	 
                                                                                                                                                                                                                                 	a/DT	 
                                                                                                                                                                                                                                 	past/JJ	 
                                                                                                                                                                                                                                 	president/NN	 
                                                                                                                                                                                                                                 	of/IN	 
                                                                                                                                                                                                                                 	the/DT	 
                                                                                                                                                                                                                                 	Church/NNP	 
                                                                                                                                                                                                                                 	of/IN	 
                                                                                                                                                                                                                                 	Jesus/NNP	 
                                                                                                                                                                                                                                 	Christ/NNP	 
                                                                                                                                                                                                                                 	of/IN	 
                                                                                                                                                                                                                                 	Latter/NNP	 
                                                                                                                                                                                                                                 	Day/NNP	 
                                                                                                                                                                                                                                 	Saints/NNP	 
                                                                                                                                                                                                                                 	./.	 
Born in [[ San Mateo | /m/0r5y9 ]] , [[ California | /m/01n7q ]] , the son of the late [[ John Carradine | /m/021mlp ]] , [[ Keith | /m/03lmzl ]] grew up in [[ California | /m/01n7q ]] 	Born/VBN	 
                                                                                                                                                                                          	in/IN	 
                                                                                                                                                                                          	San/NNP	 
                                                                                                                                                                                          	Mateo/NNP	 
                                                                                                                                                                                          	,/,	 
                                                                                                                                                                                          	California/NNP	 
                                                                                                                                                                                          	,/,	 
                                                                                                                                                                                          	the/DT	 
                                                                                                                                                                                          	son/NN	 
                                                                                                                                                                                          	of/IN	 
                                                                                                                                                                                          	the/DT	 
                                                                                                                                                                                          	late/JJ	 
                                                                                                                                                                                          	John/NNP	 
                                                                                                                                                                                          	Carradine/NNP	 
                                                                                                                                                                                          	,/,	 
                                                                                                                                                                                          	Keith/NNP	 
                                                                                                                                                                                          	grew/VBD	 
                                                                                                                                                                                          	up/RP	 
                                                                                                                                                                                          	in/IN	 
                                                                                                                                                                                          	California/NNP	 
One can also see the tiny room where [[ Mary Queen of Scots | /m/055l1 ]] gave birth to [[ James VI | /m/01nq16 ]] 	One/CD	 
                                                                                                                    	can/MD	 
                                                                                                                    	also/RB	 
                                                                                                                    	see/VB	 
                                                                                                                    	the/DT	 
                                                                                                                    	tiny/JJ	 
                                                                                                                    	room/NN	 
                                                                                                                    	where/WRB	 
                                                                                                                    	Mary/NNP	 
                                                                                                                    	Queen/NNP	 
                                                                                                                    	of/IN	 
                                                                                                                    	Scots/NNP	 
                                                                                                                    	gave/VBD	 
                                                                                                                    	birth/NN	 
                                                                                                                    	to/TO	 
                                                                                                                    	James/NNP	 
                                                                                                                    	VI/NNP	 
Among her siblings were Maria Sophia, wife of [[ Peter II of Portugal | /m/01lqj4 ]] and [[ Maria Anna | /m/048wpq ]] , wife of [[ Charles II of Spain | /m/015ndt ]] 	Among/IN	 
                                                                                                                                                                       	her/PRP$	 
                                                                                                                                                                       	siblings/NNS	 
                                                                                                                                                                       	were/VBD	 
                                                                                                                                                                       	Maria/NNP	 
                                                                                                                                                                       	Sophia/NNP	 
                                                                                                                                                                       	,/,	 
                                                                                                                                                                       	wife/NN	 
                                                                                                                                                                       	of/IN	 
                                                                                                                                                                       	Peter/NNP	 
                                                                                                                                                                       	II/NNP	 
                                                                                                                                                                       	of/IN	 
                                                                                                                                                                       	Portugal/NNP	 
                                                                                                                                                                       	and/CC	 
                                                                                                                                                                       	Maria/NNP	 
                                                                                                                                                                       	Anna/NNP	 
                                                                                                                                                                       	,/,	 
                                                                                                                                                                       	wife/NN	 
                                                                                                                                                                       	of/IN	 
                                                                                                                                                                       	Charles/NNP	 
                                                                                                                                                                       	II/NNP	 
                                                                                                                                                                       	of/IN	 
                                                                                                                                                                       	Spain/NNP	 
[[ Margaret Beaufort | /m/0j711 ]] was married to [[ Edmund Tudor | /m/0192rp ]] and, at 13, bore him a son, the future [[ Henry VII | /m/03p6r ]] .	Margaret/NNP	 
                                                                                                                                                     	Beaufort/NNP	 
                                                                                                                                                     	was/VBD	 
                                                                                                                                                     	married/VBN	 
                                                                                                                                                     	to/TO	 
                                                                                                                                                     	Edmund/NNP	 
                                                                                                                                                     	Tudor/NNP	 
                                                                                                                                                     	and/CC	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	at/IN	 
                                                                                                                                                     	13/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	bore/VBD	 
                                                                                                                                                     	him/PRP	 
                                                                                                                                                     	a/DT	 
                                                                                                                                                     	son/NN	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	the/DT	 
                                                                                                                                                     	future/NN	 
                                                                                                                                                     	Henry/NNP	 
                                                                                                                                                     	VII/NNP	 
                                                                                                                                                     	./.	 
In the south aisle are monuments to [[ Mary, Queen of Scots | /m/055l1 ]] and [[ Lady Margaret Beaufort | /m/0j711 ]] , mother of [[ Henry VII | /m/03p6r ]] .	In/IN	 
                                                                                                                                                               	the/DT	 
                                                                                                                                                               	south/JJ	 
                                                                                                                                                               	aisle/NN	 
                                                                                                                                                               	are/VBP	 
                                                                                                                                                               	monuments/NNS	 
                                                                                                                                                               	to/TO	 
                                                                                                                                                               	Mary/NNP	 
                                                                                                                                                               	,/,	 
                                                                                                                                                               	Queen/NNP	 
                                                                                                                                                               	of/IN	 
                                                                                                                                                               	Scots/NNP	 
                                                                                                                                                               	and/CC	 
                                                                                                                                                               	Lady/NNP	 
                                                                                                                                                               	Margaret/NNP	 
                                                                                                                                                               	Beaufort/NNP	 
                                                                                                                                                               	,/,	 
                                                                                                                                                               	mother/NN	 
                                                                                                                                                               	of/IN	 
                                                                                                                                                               	Henry/NNP	 
                                                                                                                                                               	VII/NNP	 
                                                                                                                                                               	./.	 
As was [[ Paul McCartney | /m/03j24kf ]] 's daughter, [[ Stella McCartney | /m/03j437 ]] 	As/IN	 
                                                                                          	was/VBD	 
                                                                                          	Paul/NNP	 
                                                                                          	McCartney/NNP	 
                                                                                          	s/NN	 
                                                                                          	daughter/NN	 
                                                                                          	,/,	 
                                                                                          	Stella/NNP	 
                                                                                          	McCartney/NNP	 
[[ John Stuart Mill | /m/03_hd ]] was born in Pentonville, [[ London | /m/04jpl ]] , the oldest son of the [[ Scottish | /m/06q1r ]] philosopher and historian [[ James Mill | /m/017h4t ]] 	John/NNP	 
                                                                                                                                                                                             	Stuart/NNP	 
                                                                                                                                                                                             	Mill/NNP	 
                                                                                                                                                                                             	was/VBD	 
                                                                                                                                                                                             	born/VBN	 
                                                                                                                                                                                             	in/IN	 
                                                                                                                                                                                             	Pentonville/NNP	 
                                                                                                                                                                                             	,/,	 
                                                                                                                                                                                             	London/NNP	 
                                                                                                                                                                                             	,/,	 
                                                                                                                                                                                             	the/DT	 
                                                                                                                                                                                             	oldest/JJS	 
                                                                                                                                                                                             	son/NN	 
                                                                                                                                                                                             	of/IN	 
                                                                                                                                                                                             	the/DT	 
                                                                                                                                                                                             	Scottish/NNP	 
                                                                                                                                                                                             	philosopher/NN	 
                                                                                                                                                                                             	and/CC	 
                                                                                                                                                                                             	historian/JJ	 
                                                                                                                                                                                             	James/NNP	 
                                                                                                                                                                                             	Mill/NNP	 
[[ Heather | /m/05bm10 ]] walked down the aisle to [[ Heather | /m/05bm10 ]] which [[ Paul | /m/03j24kf ]] had written for her	Heather/NNP	 
                                                                                                                               	walked/VBD	 
                                                                                                                               	down/IN	 
                                                                                                                               	the/DT	 
                                                                                                                               	aisle/NN	 
                                                                                                                               	to/TO	 
                                                                                                                               	Heather/NNP	 
                                                                                                                               	which/WDT	 
                                                                                                                               	Paul/NNP	 
                                                                                                                               	had/VBD	 
                                                                                                                               	written/VBN	 
                                                                                                                               	for/IN	 
                                                                                                                               	her/PRP$	 
[[ Richard Madeley | /m/0gjc7l0 ]] and [[ Judy Finnigan | /m/0gjc6m0 ]] 's daughter [[ Chloe Madeley | /m/064k8n9 ]] has apologised after she was photographed smoking cannabis	Richard/NNP	 
                                                                                                                                                                                	Madeley/NNP	 
                                                                                                                                                                                	and/CC	 
                                                                                                                                                                                	Judy/NNP	 
                                                                                                                                                                                	Finnigan/NNP	 
                                                                                                                                                                                	s/VBD	 
                                                                                                                                                                                	daughter/NN	 
                                                                                                                                                                                	Chloe/NNP	 
                                                                                                                                                                                	Madeley/NNP	 
                                                                                                                                                                                	has/VBZ	 
                                                                                                                                                                                	apologised/VBN	 
                                                                                                                                                                                	after/IN	 
                                                                                                                                                                                	she/PRP	 
                                                                                                                                                                                	was/VBD	 
                                                                                                                                                                                	photographed/VBN	 
                                                                                                                                                                                	smoking/NN	 
                                                                                                                                                                                	cannabis/NN	 
                                                                                                                                                                                	Richard/NNP	 
                                                                                                                                                                                	Madeley/NNP	 
                                                                                                                                                                                	and/CC	 
                                                                                                                                                                                	Judy/NNP	 
                                                                                                                                                                                	Finnigan/NNP	 
                                                                                                                                                                                	s/VBD	 
                                                                                                                                                                                	daughter/NN	 
                                                                                                                                                                                	Chloe/NNP	 
                                                                                                                                                                                	Madeley/NNP	 
                                                                                                                                                                                	has/VBZ	 
                                                                                                                                                                                	apologised/VBN	 
                                                                                                                                                                                	after/IN	 
                                                                                                                                                                                	she/PRP	 
                                                                                                                                                                                	was/VBD	 
                                                                                                                                                                                	photographed/VBN	 
                                                                                                                                                                                	smoking/NN	 
                                                                                                                                                                                	cannabis/NN	 
Succeeding [[ Shapur I | /m/011knj ]] , [[ Bahram I | /m/011kh9 ]]  persecuted [[ Mani | /m/02yx5q ]] and his followers under pressure from [[ Magi | /m/01dpt8 ]] 	Succeeding/VBG	 
                                                                                                                                                                    	Shapur/NNP	 
                                                                                                                                                                    	I/PRP	 
                                                                                                                                                                    	,/,	 
                                                                                                                                                                    	Bahram/NNP	 
                                                                                                                                                                    	I/PRP	 
                                                                                                                                                                    	persecuted/VBD	 
