               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                            	founded/VBD	 
                                                                                                                                            	Argonaut/NNP	 
                                                                                                                                            	in/IN	 
                                                                                                                                            	the/DT	 
                                                                                                                                            	early/JJ	 
                                                                                                                                            	eighties/NNS	 
                                                                                                                                            	./.	 
[[ Capgemini | /m/03vlk0 ]] is a global leader in [[ Consulting | /m/07k6dg ]] , ...	Capgemini/NNP	 
                                                                                     	is/VBZ	 
                                                                                     	a/DT	 
                                                                                     	global/JJ	 
                                                                                     	leader/NN	 
                                                                                     	in/IN	 
                                                                                     	Consulting/NNP	 
                                                                                     	,/,	 
                                                                                     	.../:	 
Rising Sun [[ VFX | /m/01vx2h ]] house [[ Rising Sun Pictures | /m/088bcz ]] completed 73 shots on [[ The Spirit | /m/0fldjy ]] and over 150 on the epic [[ Australia | /m/0chghy ]] 	Rising/VBG	Rising Sun Pictures
                                                                                                                                                                                      	Sun/NNP	Rising Sun Pictures
                                                                                                                                                                                      	VFX/NNP	The Spirit
                                                                                                                                                                                      	house/NN	 
                                                                                                                                                                                      	Rising/VBG	 
                                                                                                                                                                                      	Sun/NNP	 
                                                                                                                                                                                      	Pictures/NNPS	 
                                                                                                                                                                                      	completed/VBD	 
                                                                                                                                                                                      	73/CD	 
                                                                                                                                                                                      	shots/NNS	 
                                                                                                                                                                                      	on/IN	 
                                                                                                                                                                                      	The/DT	 
                                                                                                                                                                                      	Spirit/NNP	 
                                                                                                                                                                                      	and/CC	 
                                                                                                                                                                                      	over/RB	 
                                                                                                                                                                                      	150/CD	 
                                                                                                                                                                                      	on/IN	 
                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                      	epic/NN	 
                                                                                                                                                                                      	Australia/NNP	 
The [[ Green Mountain Film Festival | /m/0gsx_6 ]] is presented by [[ Focus | /m/024rbz ]] on [[ Film | /m/02vxn ]] , a 501 organization	The/DT	 
                                                                                                                                         	Green/NNP	 
                                                                                                                                         	Mountain/NNP	 
                                                                                                                                         	Film/NNP	 
                                                                                                                                         	Festival/NNP	 
                                                                                                                                         	is/VBZ	 
                                                                                                                                         	presented/VBN	 
                                                                                                                                         	by/IN	 
                                                                                                                                         	Focus/NNP	 
                                                                                                                                         	on/IN	 
                                                                                                                                         	Film/NNP	 
                                                                                                                                         	,/,	 
                                                                                                                                         	a/DT	 
                                                                                                                                         	501/CD	 
                                                                                                                                         	organization/NN	 
[[ Zopa | /m/07fj2w ]] is the marketplace for [[ Social Lending | /m/0gjq_7 ]] .	Zopa/NNP	 
                                                                                 	is/VBZ	 
                                                                                 	the/DT	 
                                                                                 	marketplace/NN	 
                                                                                 	for/IN	 
                                                                                 	Social/NNP	 
                                                                                 	Lending/NNP	 
                                                                                 	./.	 
The laboratory was setup with the help of [[ ABB | /m/01bs_z ]] , the world leaders in [[ Industrial Automation | /m/017cmr ]] .	The/DT	 
                                                                                                                                 	laboratory/NN	 
                                                                                                                                 	was/VBD	 
                                                                                                                                 	setup/VBN	 
                                                                                                                                 	with/IN	 
                                                                                                                                 	the/DT	 
                                                                                                                                 	help/NN	 
                                                                                                                                 	of/IN	 
                                                                                                                                 	ABB/NNP	 
                                                                                                                                 	,/,	 
                                                                                                                                 	the/DT	 
                                                                                                                                 	world/NN	 
                                                                                                                                 	leaders/NNS	 
                                                                                                                                 	in/IN	 
                                                                                                                                 	Industrial/NNP	 
                                                                                                                                 	Automation/NNP	 
                                                                                                                                 	./.	 
I had an interesting meeting today with the senior leadership of social networking [[ SaaS | /m/06_4c_ ]] vendor [[ Neighborhood America | /m/02vzsj8 ]] .	I/PRP	 
                                                                                                                                                           	had/VBD	 
                                                                                                                                                           	an/DT	 
                                                                                                                                                           	interesting/JJ	 
                                                                                                                                                           	meeting/NN	 
                                                                                                                                                           	today/NN	 
                                                                                                                                                           	with/IN	 
                                                                                                                                                           	the/DT	 
                                                                                                                                                           	senior/JJ	 
                                                                                                                                                           	leadership/NN	 
                                                                                                                                                           	of/IN	 
                                                                                                                                                           	social/JJ	 
                                                                                                                                                           	networking/NN	 
                                                                                                                                                           	SaaS/NNP	 
                                                                                                                                                           	vendor/NN	 
                                                                                                                                                           	Neighborhood/NNP	 
                                                                                                                                                           	America/NNP	 
                                                                                                                                                           	./.	 
[[ Charter communications inc | /m/05c51w ]] is in the [[ Cable | /m/024bm ]] and Other Pay Television Services industry in ARNOLD, [[ MO | /m/04ych ]] .	Charter/NNP	 
                                                                                                                                                          	communications/NNS	 
                                                                                                                                                          	inc/NN	 
                                                                                                                                                          	is/VBZ	 
                                                                                                                                                          	in/IN	 
                                                                                                                                                          	the/DT	 
                                                                                                                                                          	Cable/NNP	 
                                                                                                                                                          	and/CC	 
                                                                                                                                                          	Other/JJ	 
                                                                                                                                                          	Pay/NNP	 
                                                                                                                                                          	Television/NNP	 
                                                                                                                                                          	Services/NNPS	 
                                                                                                                                                          	industry/NN	 
                                                                                                                                                          	in/IN	 
                                                                                                                                                          	ARNOLD/NNP	 
                                                                                                                                                          	,/,	 
                                                                                                                                                          	MO/NNP	 
                                                                                                                                                          	./.	 
Which is why the [[ Bank | /m/017ql ]] stumped up the money for [[ Northern Rock | /m/02ht4w ]] in the end, moral hazard notwithstanding.	Which/WDT	 
                                                                                                                                          	is/VBZ	 
                                                                                                                                          	why/WRB	 
                                                                                                                                          	the/DT	 
                                                                                                                                          	Bank/NNP	 
                                                                                                                                          	stumped/VBD	 
                                                                                                                                          	up/RP	 
                                                                                                                                          	the/DT	 
                                                                                                                                          	money/NN	 
                                                                                                                                          	for/IN	 
                                                                                                                                          	Northern/NNP	 
                                                                                                                                          	Rock/NNP	 
                                                                                                                                          	in/IN	 
                                                                                                                                          	the/DT	 
                                                                                                                                          	end/NN	 
                                                                                                                                          	,/,	 
                                                                                                                                          	moral/JJ	 
                                                                                                                                          	hazard/NN	 
                                                                                                                                          	notwithstanding/NN	 
                                                                                                                                          	./.	 
[[ Baker Atlas | /m/02yd0p ]] a division of [[ Baker Hughes | /m/02yd0p ]] is a leader in the [[ Oil and Gas | /m/03xm3m ]] service industry.	Baker/NNP	 
                                                                                                                                              	Atlas/NNP	 
                                                                                                                                              	a/DT	 
                                                                                                                                              	division/NN	 
                                                                                                                                              	of/IN	 
                                                                                                                                              	Baker/NNP	 
                                                                                                                                              	Hughes/NNP	 
                                                                                                                                              	is/VBZ	 
                                                                                                                                              	a/DT	 
                                                                                                                                              	leader/NN	 
                                                                                                                                              	in/IN	 
                                                                                                                                              	the/DT	 
                                                                                                                                              	Oil/NNP	 
                                                                                                                                              	and/CC	 
                                                                                                                                              	Gas/NNP	 
                                                                                                                                              	service/NN	 
                                                                                                                                              	industry/NN	 
                                                                                                                                              	./.	 
[[ Video Games | /m/01mw1 ]] is pleased to announce that [[ Eidos | /m/0225z1 ]] ' [[ Commandos 2: Men of Courage | /m/09k9z7 ]] is now available on [[ Yahoo | /m/019rl6 ]] !	Video/NNP	 
                                                                                                                                                                               	Games/NNP	 
                                                                                                                                                                               	is/VBZ	 
                                                                                                                                                                               	pleased/VBN	 
                                                                                                                                                                               	to/TO	 
                                                                                                                                                                               	announce/VB	 
                                                                                                                                                                               	that/DT	 
                                                                                                                                                                               	Eidos/NNP	 
                                                                                                                                                                               	Commandos/NNP	 
                                                                                                                                                                               	2/CD	 
                                                                                                                                                                               	:/:	 
                                                                                                                                                                               	Men/NN	 
                                                                                                                                                                               	of/IN	 
                                                                                                                                                                               	Courage/NNP	 
                                                                                                                                                                               	is/VBZ	 
                                                                                                                                                                               	now/RB	 
                                                                                                                                                                               	available/JJ	 
                                                                                                                                                                               	on/IN	 
                                                                                                                                                                               	Yahoo/NN	 
                                                                                                                                                                               	!/.	 
[[ Earthdawn | /m/02nvb ]] is a Fantasy role-playing game, or [[ RPG | /m/06c9r ]] produced originally by [[ FASA | /m/033hn ]] 	Earthdawn/NNP	 
                                                                                                                                 	is/VBZ	 
                                                                                                                                 	a/DT	 
                                                                                                                                 	Fantasy/NNP	 
                                                                                                                                 	role-playing/JJ	 
                                                                                                                                 	game/NN	 
                                                                                                                                 	,/,	 
                                                                                                                                 	or/CC	 
                                                                                                                                 	RPG/NNP	 
                                                                                                                                 	produced/VBN	 
                                                                                                                                 	originally/RB	 
                                                                                                                                 	by/IN	 
                                                                                                                                 	FASA/NNP	 
The [[ Airlines | /m/0vg8 ]] include [[ BMI | /m/01pnw4 ]] , Easy Jet, [[ British Airways | /m/0198z ]] and [[ Iberia | /m/0p87j ]] .	The/DT	 
                                                                                                                                      	Airlines/NNP	 
                                                                                                                                      	include/VBP	 
                                                                                                                                      	BMI/NNP	 
                                                                                                                                      	,/,	 
                                                                                                                                      	Easy/NNP	 
                                                                                                                                      	Jet/NNP	 
                                                                                                                                      	,/,	 
                                                                                                                                      	British/NNP	 
                                                                                                                                      	Airways/NNP	 
                                                                                                                                      	and/CC	 
                                                                                                                                      	Iberia/NNP	 
                                                                                                                                      	./.	 
Although [[ British Nuclear Fuels Limited | /m/02sn3n ]]  has been pushing [[ Nuclear Power | /m/05k97 ]] as the non-polluting solution to climate change, this is certainly not the case.	Although/IN	British Nuclear Fuels Limited
                                                                                                                                                                                           	British/JJ	 
                                                                                                                                                                                           	Nuclear/NNP	 
                                                                                                                                                                                           	Fuels/NNP	 
                                                                                                                                                                                           	Limited/NNP	 
                                                                                                                                                                                           	has/VBZ	 
                                                                                                                                                                                           	been/VBN	 
                                                                                                                                                                                           	pushing/VBG	 
                                                                                                                                                                                           	Nuclear/JJ	 
                                                                                                                                                                                           	Power/NNP	 
                                                                                                                                                                                           	as/IN	 
                                                                                                                                                                                           	the/DT	 
                                                                                                                                                                                           	non-polluting/JJ	 
                                                                                                                                                                                           	solution/NN	 
                                                                                                                                                                                           	to/TO	 
                                                                                                                                                                                           	climate/VB	 
                                                                                                                                                                                           	change/NN	 
                                                                                                                                                                                           	,/,	 
                                                                                                                                                                                           	this/DT	 
                                                                                                                                                                                           	is/VBZ	 
                                                                                                                                                                                           	certainly/RB	 
                                                                                                                                                                                           	not/RB	 
                                                                                                                                                                                           	the/DT	 
                                                                                                                                                                                           	case/NN	 
                                                                                                                                                                                           	./.	 
[[ Technip | /m/0ct76r ]] is a world leader in [[ Engineering | /m/02ky346 ]] , Technologies and [[ Project Management | /m/05_p2 ]] for the [[ Oil and Gas industry | /m/03xm3m ]] .	Technip/NNP	 
                                                                                                                                                                                      	is/VBZ	 
                                                                                                                                                                                      	a/DT	 
                                                                                                                                                                                      	world/NN	 
                                                                                                                                                                                      	leader/NN	 
                                                                                                                                                                                      	in/IN	 
                                                                                                                                                                                      	Engineering/NNP	 
                                                                                                                                                                                      	,/,	 
                                                                                                                                                                                      	Technologies/NNPS	 
                                                                                                                                                                                      	and/CC	 
                                                                                                                                                                                      	Project/NNP	 
                                                                                                                                                                                      	Management/NNP	 
                                                                                                                                                                                      	for/IN	 
                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                      	Oil/NNP	 
                                                                                                                                                                                      	and/CC	 
                                                                                                                                                                                      	Gas/NNP	 
                                                                                                                                                                                      	industry/NN	 
                                                                                                                                                                                      	./.	 
In [[ Medina | /m/094vf ]] , [[ Cable TV | /m/024bm ]] is provided by [[ Mediacom | /m/065qr_ ]] , 1.800.332.0245.	In/IN	 
                                                                                                                   	Medina/NNP	 
                                                                                                                   	,/,	 
                                                                                                                   	Cable/NNP	 
                                                                                                                   	TV/NN	 
                                                                                                                   	is/VBZ	 
                                                                                                                   	provided/VBN	 
                                                                                                                   	by/IN	 
                                                                                                                   	Mediacom/NNP	 
                                                                                                                   	,/,	 
                                                                                                                   	1.800.332.0245/CD	 
                                                                                                                   	./.	 
Who was [[ Hemingway | /m/02kz_ ]] 's editor at [[ Scribner | /m/05djqc ]] 's [[ Publishing House | /m/0hz28 ]] ?...	Who/WP	 
                                                                                                                     	was/VBD	 
                                                                                                                     	Hemingway/NNP	 
                                                                                                                     	s/JJ	 
                                                                                                                     	editor/NN	 
                                                                                                                     	at/IN	 
                                                                                                                     	Scribner/NNP	 
                                                                                                                     	s/VBD	 
                                                                                                                     	Publishing/NNP	 
                                                                                                                     	House/NNP	 
                                                                                                                     	?/.	 
                                                                                                                     	.../:	 
[[ Tata Consultancy Services | /m/01psx8 ]]  is a global [[ IT Consulting | /m/07k6dg ]] , IT services and [[ BPO | /m/04fm00 ]] organisation	Tata/NNP	 
                                                                                                                                              	Consultancy/NNP	 
                                                                                                                                              	Services/NNPS	 
                                                                                                                                              	is/VBZ	 
                                                                                                                                              	a/DT	 
                                                                                                                                              	global/JJ	 
                                                                                                                                              	IT/NNP	 
                                                                                                                                              	Consulting/NNP	 
                                                                                                                                              	,/,	 
                                                                                                                                              	IT/NNP	 
                                                                                                                                              	services/NNS	 
                                                                                                                                              	and/CC	 
                                                                                                                                              	BPO/NNP	 
                                                                                                                                              	organisation/NN	 
The [[ Commonwealth Bank of Australia | /m/02rndw ]] and [[ EDS | /m/02qwz ]] has signed a new [[ Information Technology | /m/03ytc ]] and telecom...	The/DT	 
