               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                                                                 	the/DT	 
                                                                                                                                                                                 	third/JJ	 
                                                                                                                                                                                 	president/NN	 
                                                                                                                                                                                 	of/IN	 
                                                                                                                                                                                 	Carnegie/NNP	 
                                                                                                                                                                                 	Corporation/NNP	 
                                                                                                                                                                                 	of/IN	 
                                                                                                                                                                                 	New/NNP	 
                                                                                                                                                                                 	York/NNP	 
                                                                                                                                                                                 	to/TO	 
                                                                                                                                                                                 	be/VB	 
                                                                                                                                                                                 	honored/VBN	 
                                                                                                                                                                                 	with/IN	 
                                                                                                                                                                                 	the/DT	 
                                                                                                                                                                                 	Presidential/NNP	 
                                                                                                                                                                                 	Medal/NNP	 
                                                                                                                                                                                 	of/IN	 
                                                                                                                                                                                 	Freedom/NNP	 
                                                                                                                                                                                 	./.	 
The [[ Medal of Freedom | /m/05qck ]] was be awarded to [[ Farmer | /m/01w9r1 ]] and the others on the birthday of [[ Martin Luther King | /m/051cc ]] 	The/DT	 
                                                                                                                                                        	Medal/NNP	 
                                                                                                                                                        	of/IN	 
                                                                                                                                                        	Freedom/NNP	 
                                                                                                                                                        	was/VBD	 
                                                                                                                                                        	be/VB	 
                                                                                                                                                        	awarded/VBN	 
                                                                                                                                                        	to/TO	 
                                                                                                                                                        	Farmer/NNP	 
                                                                                                                                                        	and/CC	 
                                                                                                                                                        	the/DT	 
                                                                                                                                                        	others/NNS	 
                                                                                                                                                        	on/IN	 
                                                                                                                                                        	the/DT	 
                                                                                                                                                        	birthday/NN	 
                                                                                                                                                        	of/IN	 
                                                                                                                                                        	Martin/NNP	 
                                                                                                                                                        	Luther/NNP	 
                                                                                                                                                        	King/NNP	 
On January 13, 2009, [[ George Bush | /m/09b6zr ]] presented [[ Alvaro Uribe | /m/01kb1b ]] with the [[ Presidential Medal of Freedom | /m/05qck ]] 	On/IN	 
                                                                                                                                                     	January/NNP	 
                                                                                                                                                     	13/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	2009/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	George/NNP	 
                                                                                                                                                     	Bush/NNP	 
                                                                                                                                                     	presented/VBD	 
                                                                                                                                                     	Alvaro/NNP	 
                                                                                                                                                     	Uribe/NNP	 
                                                                                                                                                     	with/IN	 
                                                                                                                                                     	the/DT	 
                                                                                                                                                     	Presidential/NNP	 
                                                                                                                                                     	Medal/NNP	 
                                                                                                                                                     	of/IN	 
                                                                                                                                                     	Freedom/NNP	 
Long recognized as the leading contemporary [[ Greek | /m/0349s ]] poet, [[ George Seferis | /m/049g2xy ]] was awarded the [[ Nobel Prize for Literature | /m/0ddd9 ]] in 1963	Long/RB	Greek
                                                                                                                                                                               	recognized/VBN	 
                                                                                                                                                                               	as/IN	 
                                                                                                                                                                               	the/DT	 
                                                                                                                                                                               	leading/VBG	 
                                                                                                                                                                               	contemporary/JJ	 
                                                                                                                                                                               	Greek/JJ	 
                                                                                                                                                                               	poet/NN	 
                                                                                                                                                                               	,/,	 
                                                                                                                                                                               	George/NNP	 
                                                                                                                                                                               	Seferis/NNP	 
                                                                                                                                                                               	was/VBD	 
                                                                                                                                                                               	awarded/VBN	 
                                                                                                                                                                               	the/DT	 
                                                                                                                                                                               	Nobel/NNP	 
                                                                                                                                                                               	Prize/NNP	 
                                                                                                                                                                               	for/IN	 
                                                                                                                                                                               	Literature/NNP	 
                                                                                                                                                                               	in/IN	 
                                                                                                                                                                               	1963/CD	 
Dr. [[ Friedman | /m/04z0g ]] received the [[ Nobel Memorial Prize | /m/011w54 ]] for Economic Science in 1976, and the [[ National Medal of Science | /m/0pk4h ]] and the [[ Presidential Medal of Freedom | /m/05qck ]] in 1988.	Dr./NNP	 
                                                                                                                                                                                                                                   	Friedman/NNP	 
                                                                                                                                                                                                                                   	received/VBD	 
                                                                                                                                                                                                                                   	the/DT	 
                                                                                                                                                                                                                                   	Nobel/NNP	 
                                                                                                                                                                                                                                   	Memorial/NNP	 
                                                                                                                                                                                                                                   	Prize/NNP	 
                                                                                                                                                                                                                                   	for/IN	 
                                                                                                                                                                                                                                   	Economic/NNP	 
                                                                                                                                                                                                                                   	Science/NNP	 
                                                                                                                                                                                                                                   	in/IN	 
                                                                                                                                                                                                                                   	1976/CD	 
                                                                                                                                                                                                                                   	,/,	 
                                                                                                                                                                                                                                   	and/CC	 
                                                                                                                                                                                                                                   	the/DT	 
                                                                                                                                                                                                                                   	National/NNP	 
                                                                                                                                                                                                                                   	Medal/NNP	 
                                                                                                                                                                                                                                   	of/IN	 
                                                                                                                                                                                                                                   	Science/NNP	 
                                                                                                                                                                                                                                   	and/CC	 
                                                                                                                                                                                                                                   	the/DT	 
                                                                                                                                                                                                                                   	Presidential/NNP	 
                                                                                                                                                                                                                                   	Medal/NNP	 
                                                                                                                                                                                                                                   	of/IN	 
                                                                                                                                                                                                                                   	Freedom/NNP	 
                                                                                                                                                                                                                                   	in/IN	 
                                                                                                                                                                                                                                   	1988/CD	 
                                                                                                                                                                                                                                   	./.	 
                                                                                                                                                                                                                                   	Dr./NNP	 
                                                                                                                                                                                                                                   	Friedman/NNP	 
                                                                                                                                                                                                                                   	received/VBD	 
                                                                                                                                                                                                                                   	the/DT	 
                                                                                                                                                                                                                                   	Nobel/NNP	 
                                                                                                                                                                                                                                   	Memorial/NNP	 
                                                                                                                                                                                                                                   	Prize/NNP	 
                                                                                                                                                                                                                                   	for/IN	 
                                                                                                                                                                                                                                   	Economic/NNP	 
                                                                                                                                                                                                                                   	Science/NNP	 
                                                                                                                                                                                                                                   	in/IN	 
                                                                                                                                                                                                                                   	1976/CD	 
                                                                                                                                                                                                                                   	,/,	 
                                                                                                                                                                                                                                   	and/CC	 
                                                                                                                                                                                                                                   	the/DT	 
                                                                                                                                                                                                                                   	National/NNP	 
                                                                                                                                                                                                                                   	Medal/NNP	 
                                                                                                                                                                                                                                   	of/IN	 
                                                                                                                                                                                                                                   	Science/NNP	 
                                                                                                                                                                                                                                   	and/CC	 
                                                                                                                                                                                                                                   	the/DT	 
                                                                                                                                                                                                                                   	Presidential/NNP	 
                                                                                                                                                                                                                                   	Medal/NNP	 
                                                                                                                                                                                                                                   	of/IN	 
                                                                                                                                                                                                                                   	Freedom/NNP	 
                                                                                                                                                                                                                                   	in/IN	 
                                                                                                                                                                                                                                   	1988/CD	 
                                                                                                                                                                                                                                   	./.	 
In 1995, [[ Nelson | /m/01dpb_ ]] was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] for his environmental efforts by [[ US | /m/09c7w0 ]] President [[ Bill Clinton | /m/0157m ]] 	In/IN	 
                                                                                                                                                                                                	1995/CD	 
                                                                                                                                                                                                	,/,	 
                                                                                                                                                                                                	Nelson/NNP	 
                                                                                                                                                                                                	was/VBD	 
                                                                                                                                                                                                	awarded/VBN	 
                                                                                                                                                                                                	the/DT	 
                                                                                                                                                                                                	Presidential/NNP	 
                                                                                                                                                                                                	Medal/NNP	 
                                                                                                                                                                                                	of/IN	 
                                                                                                                                                                                                	Freedom/NNP	 
                                                                                                                                                                                                	for/IN	 
                                                                                                                                                                                                	his/PRP$	 
                                                                                                                                                                                                	environmental/JJ	 
                                                                                                                                                                                                	efforts/NNS	 
                                                                                                                                                                                                	by/IN	 
                                                                                                                                                                                                	US/NNP	 
                                                                                                                                                                                                	President/NNP	 
                                                                                                                                                                                                	Bill/NNP	 
                                                                                                                                                                                                	Clinton/NNP	 
(In 1994 [[ Clinton | /m/0157m ]] awarded [[ Chavez | /m/0hw9z ]] the [[ Presidential Medal of Freedom | /m/05qck ]] posthumously and described him as a   [[ Moses | /m/04yfh ]] figure. )	In/IN	 
                                                                                                                                                                                            	1994/CD	 
                                                                                                                                                                                            	Clinton/NNP	 
                                                                                                                                                                                            	awarded/VBD	 
                                                                                                                                                                                            	Chavez/NNP	 
                                                                                                                                                                                            	the/DT	 
                                                                                                                                                                                            	Presidential/NNP	 
                                                                                                                                                                                            	Medal/NNP	 
                                                                                                                                                                                            	of/IN	 
                                                                                                                                                                                            	Freedom/NNP	 
                                                                                                                                                                                            	posthumously/RB	 
                                                                                                                                                                                            	and/CC	 
                                                                                                                                                                                            	described/VBD	 
                                                                                                                                                                                            	him/PRP	 
                                                                                                                                                                                            	as/IN	 
                                                                                                                                                                                            	a/DT	 
                                                                                                                                                                                            	Moses/NNP	 
                                                                                                                                                                                            	figure/NN	 
                                                                                                                                                                                            	./.	 
[[ George HW Bush | /m/034ls ]] awarded [[ Brinkley | /m/01kfth ]] the [[ Presidential Medal of Freedom | /m/05qck ]] , the nation's highest civilian honor	George/NNP	 
                                                                                                                                                            	HW/NNP	 
                                                                                                                                                            	Bush/NNP	 
                                                                                                                                                            	awarded/VBD	 
                                                                                                                                                            	Brinkley/NNP	 
                                                                                                                                                            	the/DT	 
                                                                                                                                                            	Presidential/NNP	 
                                                                                                                                                            	Medal/NNP	 
                                                                                                                                                            	of/IN	 
                                                                                                                                                            	Freedom/NNP	 
                                                                                                                                                            	,/,	 
                                                                                                                                                            	the/DT	 
                                                                                                                                                            	nation/NN	 
                                                                                                                                                            	s/NN	 
                                                                                                                                                            	highest/JJS	 
                                                                                                                                                            	civilian/JJ	 
                                                                                                                                                            	honor/NN	 
[[ John Howard | /m/0chh05 ]] receives [[ US | /m/09c7w0 ]] [[ Presidential Medal of Freedom | /m/05qck ]] from [[ George W. Bush | /m/09b6zr ]]	John/NNP	 
                                                                                                                                                 	Howard/NNP	 
                                                                                                                                                 	receives/VBZ	 
                                                                                                                                                 	US/NNP	 
                                                                                                                                                 	Presidential/NNP	 
                                                                                                                                                 	Medal/NNP	 
                                                                                                                                                 	of/IN	 
                                                                                                                                                 	Freedom/NNP	 
                                                                                                                                                 	from/IN	 
                                                                                                                                                 	George/NNP	 
                                                                                                                                                 	W./NNP	 
                                                                                                                                                 	Bush/NNP	 
[[ Clinton | /m/0157m ]] awarded [[ Jesse Jackson | /m/040cf ]] the [[ Medal of Freedom | /m/05qck ]] , the nation's highest honor bestowed on civilians	Clinton/NNP	 
                                                                                                                                                         	awarded/VBD	 
                                                                                                                                                         	Jesse/NNP	 
                                                                                                                                                         	Jackson/NNP	 
                                                                                                                                                         	the/DT	 
                                                                                                                                                         	Medal/NNP	 
                                                                                                                                                         	of/IN	 
                                                                                                                                                         	Freedom/NNP	 
                                                                                                                                                         	,/,	 
                                                                                                                                                         	the/DT	 
                                                                                                                                                         	nation/NN	 
                                                                                                                                                         	s/NN	 
                                                                                                                                                         	highest/JJS	 
                                                                                                                                                         	honor/NN	 
                                                                                                                                                         	bestowed/VBN	 
                                                                                                                                                         	on/IN	 
                                                                                                                                                         	civilians/NNS	 
                                                                                                                                                         	Clinton/NNP	 
                                                                                                                                                         	awarded/VBD	 
                                                                                                                                                         	Jesse/NNP	 
                                                                                                                                                         	Jackson/NNP	 
                                                                                                                                                         	the/DT	 
                                                                                                                                                         	Medal/NNP	 
                                                                                                                                                         	of/IN	 
                                                                                                                                                         	Freedom/NNP	 
                                                                                                                                                         	,/,	 
                                                                                                                                                         	the/DT	 
                                                                                                                                                         	nation/NN	 
                                                                                                                                                         	s/NN	 
                                                                                                                                                         	highest/JJS	 
                                                                                                                                                         	honor/NN	 
                                                                                                                                                         	bestowed/VBN	 
